title;duration;name;fb_likes;is_main_character
Avatar;178;CCH Pounder;1000;true
avatar;178;Joel David Moore;936;false
AvataR;178;Wes Studi;855;false
Pirates of The Caribbean: At World's End;169;Johnny Depp;40000;true
Pirates of the Caribbean: At World's End;169;Orlando Bloom;5000;false
Pirates Of the Caribbean: At World's End;169;Jack Davenport;1000;false
Spectre;148;Christoph Waltz;11000;true
spectre;148;Rory Kinnear;393;false
Spectre;148;Stephanie Sigman;161;false
The Dark Knight Rises;164;Tom Hardy;27000;true
The dark Knight Rises;164;Christian Bale;23000;false
The Dark Knight Rises;164;Joseph Gordon-Levitt;23000;false
John Carter;132;Daryl Sabara;640;true
John Carter;132;Samantha Morton;632;false
John CArter;132;Polly Walker;530;false
Spider-Man 3;156;J.K. Simmons;24000;true
Spider-MAn 3;156;James Franco;11000;false
Spider-Man 3;156;Kirsten Dunst;4000;false
Tangled;100;Brad Garrett;799;true
tangled;100;Donna Murphy;553;false
Tangled;100;M.C. Gainey;284;false
Avengers: Age of Ultron;141;Chris Hemsworth;26000;true
Avengers: Age Of Ultron;141;Robert Downey Jr.;21000;false
Avengers: Age of Ultron;141;Scarlett Johansson;19000;false
Harry Potter and the Half-Blood Prince;153;Alan Rickman;25000;true
Harry Potter And the Half-Blood Prince;153;Daniel Radcliffe;11000;false
Harry Potter and the Half-Blood Prince;153;Rupert Grint;10000;false
Batman v Superman: Dawn of Justice;183;Henry Cavill;15000;true
Batman V Superman: Dawn of Justice;183;Lauren Cohan;4000;false
Batman v Superman: Dawn of Justice;183;Alan D. Purwin;2000;false
Superman RetUrns;169;Kevin Spacey;18000;true
Superman Returns;169;Marlon Brando;10000;false
Superman Returns;169;Frank Langella;903;false
Quantum of Solace;106;Giancarlo Giannini;451;true
Quantum of Solace;106;Mathieu Amalric;412;false
Quantum of Solace;106;Rory Kinnear;393;false
Pirates of the Caribbean: Dead Man's Chest;151;Johnny Depp;40000;true
Pirates of the Caribbean: Dead Man's Chest;151;Orlando Bloom;5000;false
Pirates of the Caribbean: Dead Man's Chest;151;Jack Davenport;1000;false
The Lone Ranger;150;Johnny Depp;40000;true
The Lone Ranger;150;Ruth Wilson;2000;false
The Lone Ranger;150;Tom Wilkinson;1000;false
Man of Steel;143;Henry Cavill;15000;true
Man of Steel;143;Christopher Meloni;3000;false
Man of Steel;143;Harry Lennix;748;false
The Chronicles of Narnia: Prince Caspian;150;Peter Dinklage;22000;true
The Chronicles of Narnia: Prince Caspian;150;Pierfrancesco Favino;216;false
The Chronicles of Narnia: Prince Caspian;150;Damián Alcázar;201;false
The Avengers;173;Chris Hemsworth;26000;true
The Avengers;173;Robert Downey Jr.;21000;false
