Cinderella,Walt Disney Pictures,United States of America
Cinderella,Walt Disney Productions,United States of America
Sunset Blvd.,Paramount,United States of America
Rashomon,Daiei Motion Picture Co.  Ltd.,Japan
In a Lonely Place,Santana Pictures Corporation,United States of America
In a Lonely Place,Columbia Pictures,United States of America
All About Eve,20th Century Fox,United States of America
The Asphalt Jungle,Metro-Goldwyn-Mayer,United States of America
No Man of Her Own,Paramount,United States of America
The Gunfighter,20th Century Fox,United States of America
Winchester '73,Universal International Pictures,United States of America
Orpheus,Films du Palais Royal,United States of America
Orpheus,Andre Paulve Film,United States of America
Harvey,Universal Pictures,United States of America
The Young and the Damned,Ultramar Films,United States of America
Rio Grande,Republic Pictures,United States of America
Rio Grande,Argosy Pictures,United States of America
Treasure Island,RKO Radio Pictures,United States of America
Treasure Island,Walt Disney Productions,United States of America
Stage Fright,Warner Bros. Pictures,United States of America
Night and the City,20th Century Fox,United States of America
Gun Crazy,King Brothers Productions,United States of America
Broken Arrow,20th Century Fox,United States of America
Rabbit of Seville,Warner Bros. Pictures,United States of America
Rabbit of Seville,Warner Bros. Cartoons,United States of America
Father of the Bride,Metro-Goldwyn-Mayer,United States of America
D.O.A.,Cardinal Pictures,United States of America
D.O.A.,Harry Popkin Productions,United States of America
Born Yesterday,Columbia Pictures,United States of America
Where the Sidewalk Ends,20th Century Fox,United States of America
Wagon Master,Argosy Pictures,United States of America
Stromboli,RKO Radio Pictures,United States of America
Stromboli,Berit Films,United States of America
Panic in the Streets,20th Century Fox,United States of America
Kiss Tomorrow Goodbye,William Cagney Productions,United States of America
Les Enfants Terribles,Melville Productions,United States of America
Scandal,Shochiku Co.  Ltd.,Japan
711 Ocean Drive,Essaness Productions,United States of America
711 Ocean Drive,Frank Seltzer Productions,United States of America
Annie Get Your Gun,Metro-Goldwyn-Mayer,United States of America
Caged,Warner Bros. Pictures,United States of America
King Solomon's Mines,Metro-Goldwyn-Mayer,United States of America
The Damned Don't Cry,Warner Bros. Pictures,United States of America
La Ronde,Films Sacha Gordine,United States of America
Cheaper by the Dozen,20th Century Fox,United States of America
The Men,Stanley Kramer Productions,United States of America
No Way Out,20th Century Fox,United States of America
Destination Moon,George Pal Productions,United States of America
Borderline,Borderline Productions Corp.,United States of America
Borderline,Universal Pictures,United States of America
Rocketship X-M,Lippert Pictures,United States of America
Champagne for Caesar,Cardinal Pictures (II),United States of America
The Killer That Stalked New York,Robert Cohn Productions,United States of America
The Killer That Stalked New York,Columbia Pictures,United States of America
Gerald McBoing-Boing,United Productions of America (UPA),United States of America
Young Man with a Horn,Warner Bros. Pictures,United States of America
The Sound of Fury,Robert Stillman Productions,United States of America
The Flame and the Arrow,Norma-F.R. Productions,United States of America
The Flame and the Arrow,Warner Bros. Pictures,United States of America
Where Danger Lives,RKO Radio Pictures,United States of America
The Blue Lamp,J. Arthur Rank Organisation,United States of America
The Blue Lamp,Ealing Studios,United States of America
Woman on the Run,Universal Pictures,United States of America
The Man Who Cheated Himself,Jack M. Warner Productions,United States of America
The File on Thelma Jordon,Paramount,United States of America
The File on Thelma Jordon,Hal Wallis Productions,United States of America
The Furies,Hal Wallis Productions,United States of America
The Furies,Paramount,United States of America
The Happiest Days of Your Life,Individual Pictures,United States of America
The Happiest Days of Your Life,London Film Productions,United States of America
Seven Days to Noon,London Film Productions,United States of America
The Breaking Point,Warner Bros. Pictures,United States of America
